depth_top,thickness,soil_code,C_s,C_p,elevation_with_respect_to_NAP,gamma,gamma_sat,phi
0.07,1.92,Kz6v1,1680,140,-3.45,0.02,0.02,0.5672320069
1.99,7.0,Kv2z1,60,15,-5.37,0.016,0.016,0.2617993878
8.99,0.6000000000000001,Zk5s1,1000000000,200,-12.37,0.018000000000000002,0.02,0.436332313
9.59,2.399,Zg1s1,1000000000,600,-12.97,0.018000000000000002,0.02,0.5672320069
11.989,0.8,Kz3v2,320,25,-15.369,0.018000000000000002,0.018000000000000002,0.4799655443
12.789,1.999,Zk3s1,1000000000,200,-16.169,0.018000000000000002,0.02,0.436332313
14.788,1.799,Zg1s1,1000000000,600,-18.168,0.018000000000000002,0.02,0.5672320069
16.587,1.2,Zg3,1000000000,600,-19.967,0.018000000000000002,0.02,0.5672320069
17.787,2.298,Zg1s1,1000000000,600,-21.167,0.018000000000000002,0.02,0.5672320069
20.085,5.396,Z,1000000000,200,-23.465,0.017,0.019,0.5235987756
25.481,2.798,Zk1,1000000000,450,-28.861,0.018000000000000002,0.02,0.471238898
28.279,11.577,Kz7s1,320,25,-31.659,0.018000000000000002,0.018000000000000002,0.4799655443
39.856,0.06,Zk3s1,1000000000,200,-43.236,0.018000000000000002,0.02,0.436332313
